brain_type,duration_type,seed,frame,coverage_pct
qlearning,short,7,500,0.0736
qlearning,short,7,600,0.0852
qlearning,short,7,700,0.0952
qlearning,short,7,800,0.1068
qlearning,short,7,900,0.114
qlearning,short,7,1000,0.1256
qlearning,short,7,1100,0.1356
qlearning,short,7,1200,0.146
qlearning,short,7,1300,0.1516
qlearning,short,7,1400,0.1572
qlearning,short,7,1500,0.1608
qlearning,short,8,100,0.018
qlearning,short,8,200,0.0316
qlearning,short,8,300,0.048
qlearning,short,8,400,0.0592
qlearning,short,8,500,0.0656
qlearning,short,8,600,0.0796
qlearning,short,8,700,0.088
qlearning,short,8,800,0.1016
qlearning,short,8,900,0.1196
qlearning,short,8,1000,0.1336
qlearning,short,8,1100,0.1484
qlearning,short,8,1200,0.1564
qlearning,short,8,1300,0.1668
qlearning,short,8,1400,0.1772
qlearning,short,8,1500,0.1824
qlearning,short,9,100,0.02
qlearning,short,9,200,0.0376
qlearning,short,9,300,0.0588
qlearning,short,9,400,0.082
qlearning,short,9,500,0.0868
qlearning,short,9,600,0.0944
qlearning,short,9,700,0.0992
qlearning,short,9,800,0.1092
qlearning,short,9,900,0.1188
qlearning,short,9,1000,0.1256
qlearning,short,9,1100,0.1308
qlearning,short,9,1200,0.1476
qlearning,short,9,1300,0.164
qlearning,short,9,1400,0.1776
qlearning,short,9,1500,0.1876
subsumption,long,0,100,0.014
subsumption,long,0,200,0.0272
subsumption,long,0,300,0.0364
subsumption,long,0,400,0.042
subsumption,long,0,500,0.0516
subsumption,long,0,600,0.0596
subsumption,long,0,700,0.0668
subsumption,long,0,800,0.0784
subsumption,long,0,900,0.0924
subsumption,long,0,1000,0.1036
subsumption,long,0,1100,0.118
subsumption,long,0,1200,0.1272
subsumption,long,0,1300,0.1296
subsumption,long,0,1400,0.13
subsumption,long,0,1500,0.1384
subsumption,long,0,1600,0.1448
subsumption,long,0,1700,0.1536
subsumption,long,0,1800,0.164
subsumption,long,0,1900,0.1712
subsumption,long,0,2000,0.1808
subsumption,long,0,2100,0.1912
subsumption,long,0,2200,0.1984
subsumption,long,0,2300,0.2084
subsumption,long,0,2400,0.2156
subsumption,long,0,2500,0.2184
subsumption,long,0,2600,0.2216
subsumption,long,0,2700,0.2268
subsumption,long,0,2800,0.2356
subsumption,long,0,2900,0.2472
subsumption,long,0,3000,0.25
subsumption,long,0,3100,0.2556
subsumption,long,0,3200,0.262
subsumption,long,0,3300,0.2676
subsumption,long,0,3400,0.278
subsumption,long,0,3500,0.282
subsumption,long,0,3600,0.2868
subsumption,long,0,3700,0.2908
subsumption,long,0,3800,0.2952
subsumption,long,0,3900,0.3008
subsumption,long,0,4000,0.3028
subsumption,long,0,4100,0.3064
subsumption,long,0,4200,0.3116
subsumption,long,0,4300,0.32
subsumption,long,0,4400,0.3284
subsumption,long,0,4500,0.33
subsumption,long,0,4600,0.3324
subsumption,long,0,4700,0.3348
subsumption,long,0,4800,0.3388
subsumption,long,0,4900,0.3456
subsumption,long,0,5000,0.3508
subsumption,long,1,100,0.0208
subsumption,long,1,200,0.036
subsumption,long,1,300,0.0524
subsumption,long,1,400,0.0648
subsumption,long,1,500,0.074
subsumption,long,1,600,0.0836
subsumption,long,1,700,0.092
subsumption,long,1,800,0.0992
subsumption,long,1,900,0.1044
subsumption,long,1,1000,0.1184
subsumption,long,1,1100,0.1264
subsumption,long,1,1200,0.136
subsumption,long,1,1300,0.1484
subsumption,long,1,1400,0.1608
subsumption,long,1,1500,0.172
subsumption,long,1,1600,0.1808
subsumption,long,1,1700,0.1856
subsumption,long,1,1800,0.1948
subsumption,long,1,1900,0.208
subsumption,long,1,2000,0.2164
subsumption,long,1,2100,0.2236
subsumption,long,1,2200,0.2348
subsumption,long,1,2300,0.2428
subsumption,long,1,2400,0.25
subsumption,long,1,2500,0.2564
subsumption,long,1,2600,0.2628
subsumption,long,1,2700,0.2696
subsumption,long,1,2800,0.2856
subsumption,long,1,2900,0.294
subsumption,long,1,3000,0.2956
subsumption,long,1,3100,0.3028
subsumption,long,1,3200,0.3112
subsumption,long,1,3300,0.3176
subsumption,long,1,3400,0.3208
subsumption,long,1,3500,0.3288
subsumption,long,1,3600,0.3348
subsumption,long,1,3700,0.3412
subsumption,long,1,3800,0.3448
subsumption,long,1,3900,0.3484
subsumption,long,1,4000,0.35
subsumption,long,1,4100,0.352
subsumption,long,1,4200,0.3572
subsumption,long,1,4300,0.3672
subsumption,long,1,4400,0.3684
subsumption,long,1,4500,0.3708
subsumption,long,1,4600,0.372
subsumption,long,1,4700,0.3736
subsumption,long,1,4800,0.3752
subsumption,long,1,4900,0.3768
subsumption,long,1,5000,0.3804
subsumption,long,2,100,0.0196
subsumption,long,2,200,0.0268
subsumption,long,2,300,0.042
subsumption,long,2,400,0.0552
subsumption,long,2,500,0.0592
subsumption,long,2,600,0.0644
subsumption,long,2,700,0.0692
subsumption,long,2,800,0.0728
subsumption,long,2,900,0.08
subsumption,long,2,1000,0.092
subsumption,long,2,1100,0.1008
subsumption,long,2,1200,0.106
subsumption,long,2,1300,0.1132
subsumption,long,2,1400,0.1212
subsumption,long,2,1500,0.1268
subsumption,long,2,1600,0.1348
subsumption,long,2,1700,0.1392
subsumption,long,2,1800,0.1496
subsumption,long,2,1900,0.1548
subsumption,long,2,2000,0.1624
subsumption,long,2,2100,0.1668
subsumption,long,2,2200,0.1712
subsumption,long,2,2300,0.1764
subsumption,long,2,2400,0.18
subsumption,long,2,2500,0.1852
subsumption,long,2,2600,0.1884
subsumption,long,2,2700,0.2004
subsumption,long,2,2800,0.2036
subsumption,long,2,2900,0.2116
subsumption,long,2,3000,0.2168
subsumption,long,2,3100,0.2172
subsumption,long,2,3200,0.2208
subsumption,long,2,3300,0.2284
subsumption,long,2,3400,0.236
subsumption,long,2,3500,0.2428
subsumption,long,2,3600,0.2488
subsumption,long,2,3700,0.2508
subsumption,long,2,3800,0.2508
subsumption,long,2,3900,0.2556
subsumption,long,2,4000,0.2596
subsumption,long,2,4100,0.2596
subsumption,long,2,4200,0.262
subsumption,long,2,4300,0.2632
subsumption,long,2,4400,0.272
subsumption,long,2,4500,0.2744
subsumption,long,2,4600,0.2772
subsumption,long,2,4700,0.2812
subsumption,long,2,4800,0.2868
subsumption,long,2,4900,0.2936
subsumption,long,2,5000,0.2988
subsumption,long,3,100,0.02
subsumption,long,3,200,0.0368
subsumption,long,3,300,0.0504
subsumption,long,3,400,0.0596
subsumption,long,3,500,0.0692
subsumption,long,3,600,0.0796
subsumption,long,3,700,0.0904
subsumption,long,3,800,0.1032
subsumption,long,3,900,0.1136
subsumption,long,3,1000,0.118
subsumption,long,3,1100,0.1268
subsumption,long,3,1200,0.1316
subsumption,long,3,1300,0.1416
subsumption,long,3,1400,0.152
subsumption,long,3,1500,0.1624
subsumption,long,3,1600,0.166
subsumption,long,3,1700,0.172
subsumption,long,3,1800,0.1824
subsumption,long,3,1900,0.1944
subsumption,long,3,2000,0.2032
subsumption,long,3,2100,0.2128
subsumption,long,3,2200,0.2132
subsumption,long,3,2300,0.216
subsumption,long,3,2400,0.228
subsumption,long,3,2500,0.2364
subsumption,long,3,2600,0.2508
subsumption,long,3,2700,0.258
subsumption,long,3,2800,0.2648
subsumption,long,3,2900,0.2664
subsumption,long,3,3000,0.282
subsumption,long,3,3100,0.288
subsumption,long,3,3200,0.3
subsumption,long,3,3300,0.308
subsumption,long,3,3400,0.3132
subsumption,long,3,3500,0.3204
subsumption,long,3,3600,0.3296
subsumption,long,3,3700,0.3344
subsumption,long,3,3800,0.342
subsumption,long,3,3900,0.3476
subsumption,long,3,4000,0.3508
subsumption,long,3,4100,0.3596
subsumption,long,3,4200,0.3712
subsumption,long,3,4300,0.3744
subsumption,long,3,4400,0.3796
subsumption,long,3,4500,0.3812
subsumption,long,3,4600,0.3912
subsumption,long,3,4700,0.404
subsumption,long,3,4800,0.4136
subsumption,long,3,4900,0.4196
subsumption,long,3,5000,0.4232
subsumption,long,4,100,0.0116
subsumption,long,4,200,0.0192
subsumption,long,4,300,0.0304
subsumption,long,4,400,0.0536
subsumption,long,4,500,0.0616
subsumption,long,4,600,0.0728
subsumption,long,4,700,0.0792
subsumption,long,4,800,0.086
subsumption,long,4,900,0.0992
subsumption,long,4,1000,0.1164
subsumption,long,4,1100,0.122
subsumption,long,4,1200,0.1312
subsumption,long,4,1300,0.1364
subsumption,long,4,1400,0.15
subsumption,long,4,1500,0.1592
subsumption,long,4,1600,0.1684
subsumption,long,4,1700,0.1768
subsumption,long,4,1800,0.1844
subsumption,long,4,1900,0.1884
subsumption,long,4,2000,0.1932
subsumption,long,4,2100,0.1948
subsumption,long,4,2200,0.204
subsumption,long,4,2300,0.2068
subsumption,long,4,2400,0.2124
subsumption,long,4,2500,0.218
subsumption,long,4,2600,0.2196
subsumption,long,4,2700,0.2216
subsumption,long,4,2800,0.2284
subsumption,long,4,2900,0.232
subsumption,long,4,3000,0.24
subsumption,long,4,3100,0.246
subsumption,long,4,3200,0.248
subsumption,long,4,3300,0.2504
subsumption,long,4,3400,0.2564
subsumption,long,4,3500,0.2624
subsumption,long,4,3600,0.2696
subsumption,long,4,3700,0.2764
subsumption,long,4,3800,0.2832
subsumption,long,4,3900,0.2864
subsumption,long,4,4000,0.2876
subsumption,long,4,4100,0.292
subsumption,long,4,4200,0.294
subsumption,long,4,4300,0.2948
subsumption,long,4,4400,0.2964
subsumption,long,4,4500,0.3008
subsumption,long,4,4600,0.3032
subsumption,long,4,4700,0.306
subsumption,long,4,4800,0.3072
subsumption,long,4,4900,0.3132
subsumption,long,4,5000,0.3144
subsumption,long,5,100,0.0164
subsumption,long,5,200,0.0384
subsumption,long,5,300,0.0504
subsumption,long,5,400,0.0672
subsumption,long,5,500,0.0716
subsumption,long,5,600,0.0856
subsumption,long,5,700,0.0976
subsumption,long,5,800,0.104
subsumption,long,5,900,0.1124
subsumption,long,5,1000,0.122
subsumption,long,5,1100,0.1392
subsumption,long,5,1200,0.1496
subsumption,long,5,1300,0.1576
subsumption,long,5,1400,0.1656
subsumption,long,5,1500,0.17
subsumption,long,5,1600,0.1736
subsumption,long,5,1700,0.1876
subsumption,long,5,1800,0.1932
subsumption,long,5,1900,0.2012
subsumption,long,5,2000,0.2088
subsumption,long,5,2100,0.2188
subsumption,long,5,2200,0.224
subsumption,long,5,2300,0.2296
subsumption,long,5,2400,0.2404
subsumption,long,5,2500,0.25
subsumption,long,5,2600,0.258
subsumption,long,5,2700,0.2644
subsumption,long,5,2800,0.2668
subsumption,long,5,2900,0.2708
subsumption,long,5,3000,0.2724
subsumption,long,5,3100,0.2724
subsumption,long,5,3200,0.2816
subsumption,long,5,3300,0.2876
subsumption,long,5,3400,0.2956
subsumption,long,5,3500,0.3
subsumption,long,5,3600,0.3016
subsumption,long,5,3700,0.3048
subsumption,long,5,3800,0.3096
subsumption,long,5,3900,0.3208
subsumption,long,5,4000,0.3304
subsumption,long,5,4100,0.3412
subsumption,long,5,4200,0.3532
subsumption,long,5,4300,0.3584
subsumption,long,5,4400,0.3592
subsumption,long,5,4500,0.3612
subsumption,long,5,4600,0.3672
subsumption,long,5,4700,0.368
subsumption,long,5,4800,0.3728
subsumption,long,5,4900,0.3736
subsumption,long,5,5000,0.3756
subsumption,long,6,100,0.026
subsumption,long,6,200,0.0332
subsumption,long,6,300,0.052
subsumption,long,6,400,0.0632
subsumption,long,6,500,0.07
subsumption,long,6,600,0.0796
subsumption,long,6,700,0.0876
subsumption,long,6,800,0.1068
subsumption,long,6,900,0.1172
subsumption,long,6,1000,0.1292
subsumption,long,6,1100,0.1416
subsumption,long,6,1200,0.1552
subsumption,long,6,1300,0.168
subsumption,long,6,1400,0.1728
subsumption,long,6,1500,0.18
subsumption,long,6,1600,0.1876
subsumption,long,6,1700,0.1948
subsumption,long,6,1800,0.2068
subsumption,long,6,1900,0.2224
subsumption,long,6,2000,0.2304
subsumption,long,6,2100,0.2376
subsumption,long,6,2200,0.2416
subsumption,long,6,2300,0.242
subsumption,long,6,2400,0.2424
subsumption,long,6,2500,0.25
subsumption,long,6,2600,0.2632
subsumption,long,6,2700,0.2788
subsumption,long,6,2800,0.2912
subsumption,long,6,2900,0.2952
subsumption,long,6,3000,0.3024
subsumption,long,6,3100,0.3112
subsumption,long,6,3200,0.3196
subsumption,long,6,3300,0.3308
subsumption,long,6,3400,0.3368
subsumption,long,6,3500,0.3404
subsumption,long,6,3600,0.3428
subsumption,long,6,3700,0.3484
subsumption,long,6,3800,0.3604
subsumption,long,6,3900,0.366
subsumption,long,6,4000,0.3732
subsumption,long,6,4100,0.3752
subsumption,long,6,4200,0.3884
subsumption,long,6,4300,0.3928
subsumption,long,6,4400,0.404
subsumption,long,6,4500,0.4092
subsumption,long,6,4600,0.4136
subsumption,long,6,4700,0.418
subsumption,long,6,4800,0.4224
subsumption,long,6,4900,0.4296
subsumption,long,6,5000,0.4312
subsumption,long,7,100,0.016
subsumption,long,7,200,0.0304
subsumption,long,7,300,0.0432
subsumption,long,7,400,0.0544
subsumption,long,7,500,0.0664
subsumption,long,7,600,0.0784
subsumption,long,7,700,0.0928
subsumption,long,7,800,0.1008
subsumption,long,7,900,0.1144
subsumption,long,7,1000,0.128
subsumption,long,7,1100,0.1396
subsumption,long,7,1200,0.1512
subsumption,long,7,1300,0.1572
subsumption,long,7,1400,0.1688
subsumption,long,7,1500,0.1756
subsumption,long,7,1600,0.1896
subsumption,long,7,1700,0.1984
subsumption,long,7,1800,0.2024
subsumption,long,7,1900,0.2112
subsumption,long,7,2000,0.222
subsumption,long,7,2100,0.2292
subsumption,long,7,2200,0.2384
subsumption,long,7,2300,0.2404
subsumption,long,7,2400,0.242
subsumption,long,7,2500,0.2424
subsumption,long,7,2600,0.2428
subsumption,long,7,2700,0.25
subsumption,long,7,2800,0.2584
subsumption,long,7,2900,0.2668
subsumption,long,7,3000,0.2732
subsumption,long,7,3100,0.2792
subsumption,long,7,3200,0.2908
subsumption,long,7,3300,0.2988
subsumption,long,7,3400,0.3032
subsumption,long,7,3500,0.3104
subsumption,long,7,3600,0.312
subsumption,long,7,3700,0.3216
subsumption,long,7,3800,0.3264
subsumption,long,7,3900,0.3376
subsumption,long,7,4000,0.3452
subsumption,long,7,4100,0.3508
subsumption,long,7,4200,0.3516
subsumption,long,7,4300,0.3532
subsumption,long,7,4400,0.3572
subsumption,long,7,4500,0.3588
subsumption,long,7,4600,0.3632
subsumption,long,7,4700,0.3636
subsumption,long,7,4800,0.366
subsumption,long,7,4900,0.3676
subsumption,long,7,5000,0.3752
subsumption,long,8,100,0.0164
subsumption,long,8,200,0.0248
subsumption,long,8,300,0.038
subsumption,long,8,400,0.0516
subsumption,long,8,500,0.0612
subsumption,long,8,600,0.074
subsumption,long,8,700,0.0784
